case_id, setup, solution
51, R U R' U R U R2' D' Rw U2' Rw' D R2' U R' y', y R U' R2 D' Rw U2 Rw' D R2 U' R' U' R U' R'
52, R2' U R2' U R D' R U' R' D R U' R2', U2 R U R' U2 R' D' R U R' D R2 U' R' U R U' R' U
53, F R' F' Rw U R U' F R' F' Rw U R U' Rw2' y2, y2 F U R' D' R U R' D R U' R' D' R U' R' D R F'
54, R' U2' R' U2' R2' U R F R U R U' R' F' R2' y2, y2 R2 F R U R' U' R' F' R' U' R2 U2 R U2 R
55, R U' R2' D' Rw U2' Rw' D R2' U R' y2, y2 R U' R2 D' Rw U2 Rw' D R2 U R'
56, R' U R2' D Rw' U2' Rw D' R2' U' R, R' U R2 D Rw' U2 Rw D' R2 U' R
57, R2' U' R2' U' R' D R' U R D' R' U R2' y2, y2 U2 R' U' R U2 R D R' U' R D' R2 U R U' R' U R U'
58, R2' F2' R U2' R U2' R' F' R U R' U' R' F' R2' y', y R' D' R U' R' D R U' R U' R' U R U' R' U' R U R' U'
59, R U R' U2' R' D' R U R' D R2' U' R' U R U' R' y', y R U R' U' R U R2 D' R U' R' D R U2 R U' R'
60, F R U R' U' R' F' R U R' F' R U R U' R' F R U' R' y2, y2 R U R' F' R U R' U' R' F R U' R' F R U R U' R' F'
61, R' U' R U' R' U2' R U' R' U2' R U R' U R y, y' U' R U' R' U2 R U R' U2 R U R' U R U' R' U
62, R U R' U R U2' R' U R U2' R' U' R U' R' y, y' R U R' U R U2 R' U' R U2 R' U' R U' R'
63, R' U2' R2' U R2' U R U' R U R' U' R U' R' y, y' R U R' U R U' R' U R' U' R2 U' R2 U2 R
64, R U2' R' U' R U' R' U' R U R' U R U2' R', R U2 R' U' R U' R' U R U R' U R U2 R'
65, R U2' R2' U' R2' U' R' U R' U' R U R' U R y, y' R' U' R U' R' U R U' R U R2 U R2 U2 R'
66, R' U2' R U R' U R U R' U' R U' R' U2' R y2, y2 R' U2 R U R' U R U' R' U' R U' R' U2 R
67, R' U' R U' R U2' R2' U' R2' U' R2' U R y, y' R' U' R2 U R2 U R2 U2 R' U R' U R
68, R U R' U R' U2' R2' U R2' U R2' U' R' y, y' R U R2 U' R2 U' R2 U2 R U' R U' R'
69, R' U' R U' R' U2' R2' U R' U R U2' R', R U2 R' U' R U' R2 U2 R U R' U R
70, R U R' U R U2' R2' U' R U' R' U2' R y2, y2 R' U2 R U R' U R2 U2 R' U' R U' R'
71, R U R' U' R' U R U R U' R' U R' U R U2' R' U' R, R' U R U2 R' U' R U' R U R' U' R' U' R U R U' R'
72, R' U2' R U R' U R U2' R U2' R' U' R U' R' y, y' R U R' U R U2 R' U2 R' U' R U' R' U2 R
